Train Id;Departure Station;Departure Time;Destination;;
1;Calle 72;0400;Calle 1;;
1;Calle 63;0404;Calle 1;;
1;Calle 45;0408;Calle 1;;
1;Calle 26;0412;Calle 1;;
1;Calle 10;0416;Calle 1;;
1;Calle 1;0420;Calle 72;;
1;Calle 10;0424;Calle 72;;
1;Calle 26;0428;Calle 72;;
1;Calle 45;0432;Calle 72;;
1;Calle 63;0436;Calle 72;;
1;Calle 72;0440;Calle 1;;
1;Calle 63;0444;Calle 1;;
1;Calle 45;0448;Calle 1;;
1;Calle 26;0452;Calle 1;;
1;Calle 10;0456;Calle 1;;
1;Calle 1;0500;Calle 72;;
1;Calle 10;0504;Calle 72;;
1;Calle 26;0508;Calle 72;;
1;Calle 45;0512;Calle 72;;
1;Calle 63;0516;Calle 72;;
1;Calle 72;0520;Calle 1;;
1;Calle 63;0524;Calle 1;;
1;Calle 45;0528;Calle 1;;
1;Calle 26;0532;Calle 1;;
1;Calle 10;0536;Calle 1;;
1;Calle 1;0540;Calle 72;;
1;Calle 10;0544;Calle 72;;
1;Calle 26;0548;Calle 72;;
1;Calle 45;0552;Calle 72;;
1;Calle 63;0556;Calle 72;;
1;Calle 72;0600;Calle 1;;
1;Calle 63;0604;Calle 1;;
1;Calle 45;0608;Calle 1;;
1;Calle 26;0612;Calle 1;;
1;Calle 10;0616;Calle 1;;
1;Calle 1;0620;Calle 72;;
1;Calle 10;0624;Calle 72;;
1;Calle 26;0628;Calle 72;;
1;Calle 45;0632;Calle 72;;
1;Calle 63;0636;Calle 72;;
1;Calle 72;0640;Calle 1;;
1;Calle 63;0644;Calle 1;;
1;Calle 45;0648;Calle 1;;
1;Calle 26;0652;Calle 1;;
1;Calle 10;0656;Calle 1;;
1;Calle 1;0700;Calle 72;;
1;Calle 10;0704;Calle 72;;
1;Calle 26;0708;Calle 72;;
1;Calle 45;0712;Calle 72;;
1;Calle 63;0716;Calle 72;;
1;Calle 72;0720;Calle 1;;
1;Calle 63;0724;Calle 1;;
1;Calle 45;0728;Calle 1;;
1;Calle 26;0732;Calle 1;;
1;Calle 10;0736;Calle 1;;
1;Calle 1;0740;Calle 72;;
1;Calle 10;0744;Calle 72;;
1;Calle 26;0748;Calle 72;;
1;Calle 45;0752;Calle 72;;
1;Calle 63;0756;Calle 72;;
1;Calle 72;0800;Calle 1;;
1;Calle 63;0804;Calle 1;;
1;Calle 45;0808;Calle 1;;
1;Calle 26;0812;Calle 1;;
1;Calle 10;0816;Calle 1;;
1;Calle 1;0820;Calle 72;;
1;Calle 10;0824;Calle 72;;
1;Calle 26;0828;Calle 72;;
1;Calle 45;0832;Calle 72;;
1;Calle 63;0836;Calle 72;;
1;Calle 72;0840;Calle 1;;
1;Calle 63;0844;Calle 1;;
1;Calle 45;0848;Calle 1;;
1;Calle 26;0852;Calle 1;;
1;Calle 10;0856;Calle 1;;
1;Calle 1;0900;Calle 72;;
1;Calle 10;0904;Calle 72;;
1;Calle 26;0908;Calle 72;;
1;Calle 45;0912;Calle 72;;
1;Calle 63;0916;Calle 72;;
1;Calle 72;0920;Calle 1;;
1;Calle 63;0924;Calle 1;;
1;Calle 45;0928;Calle 1;;
1;Calle 26;0932;Calle 1;;
1;Calle 10;0936;Calle 1;;
1;Calle 1;0940;Calle 72;;
1;Calle 10;0944;Calle 72;;
1;Calle 26;0948;Calle 72;;
1;Calle 45;0952;Calle 72;;
1;Calle 63;0956;Calle 72;;
1;Calle 72;1000;Calle 1;;
1;Calle 63;1004;Calle 1;;
1;Calle 45;1008;Calle 1;;
1;Calle 26;1012;Calle 1;;
1;Calle 10;1016;Calle 1;;
1;Calle 1;1020;Calle 72;;
1;Calle 10;1024;Calle 72;;
1;Calle 26;1028;Calle 72;;
1;Calle 45;1032;Calle 72;;
1;Calle 63;1036;Calle 72;;
1;Calle 72;1040;Calle 1;;
1;Calle 63;1044;Calle 1;;
1;Calle 45;1048;Calle 1;;
1;Calle 26;1052;Calle 1;;
1;Calle 10;1056;Calle 1;;
1;Calle 1;1100;Calle 72;;
1;Calle 10;1104;Calle 72;;
1;Calle 26;1108;Calle 72;;
1;Calle 45;1112;Calle 72;;
1;Calle 63;1116;Calle 72;;
1;Calle 72;1120;Calle 1;;
1;Calle 63;1124;Calle 1;;
1;Calle 45;1128;Calle 1;;
1;Calle 26;1132;Calle 1;;
1;Calle 10;1136;Calle 1;;
1;Calle 1;1140;Calle 72;;
1;Calle 10;1144;Calle 72;;
1;Calle 26;1148;Calle 72;;
1;Calle 45;1152;Calle 72;;
1;Calle 63;1156;Calle 72;;
1;Calle 72;1200;Calle 1;;
1;Calle 63;1204;Calle 1;;
1;Calle 45;1208;Calle 1;;
1;Calle 26;1212;Calle 1;;
1;Calle 10;1216;Calle 1;;
1;Calle 1;1220;Calle 72;;
1;Calle 10;1224;Calle 72;;
1;Calle 26;1228;Calle 72;;
1;Calle 45;1232;Calle 72;;
1;Calle 63;1236;Calle 72;;
1;Calle 72;1240;Calle 1;;
1;Calle 63;1244;Calle 1;;
1;Calle 45;1248;Calle 1;;
1;Calle 26;1252;Calle 1;;
1;Calle 10;1256;Calle 1;;
1;Calle 1;1300;Calle 72;;
1;Calle 10;1304;Calle 72;;
1;Calle 26;1308;Calle 72;;
1;Calle 45;1312;Calle 72;;
1;Calle 63;1316;Calle 72;;
1;Calle 72;1320;Calle 1;;
1;Calle 63;1324;Calle 1;;
1;Calle 45;1328;Calle 1;;
1;Calle 26;1332;Calle 1;;
1;Calle 10;1336;Calle 1;;
1;Calle 1;1340;Calle 72;;
1;Calle 10;1344;Calle 72;;
1;Calle 26;1348;Calle 72;;
1;Calle 45;1352;Calle 72;;
1;Calle 63;1356;Calle 72;;
